Step,Reward
400,359.0137893295004
800,858.2515989573023
1200,293.35032279729353
1600,383.2674368569468
2000,551.1556488630152
2400,314.0472926906859
2800,1277.86514869521
3200,532.5159932206069
3600,506.66205854554863
4000,1089.360848052956
4400,452.49963309723483
4800,404.0816902997168
5200,794.0967399066512
5600,693.508337482677
6000,890.2891568365079
6400,510.2472557637501
6800,1091.203555388958
7200,1045.8305658780655
7600,650.1118886755602
8000,886.2148662057854
8400,1267.9087561576996
8800,564.3408772585083
9200,494.48293281037746
9600,880.5114769719042
10000,851.670660011703
10400,1350.7817508246108
10800,2270.1778360584226
11200,2288.646586483636
11600,1681.4546504256998
12000,1070.6277125313948
12400,701.434677474634
12800,1333.7807217302652
13200,984.2529666361481
13600,2567.6895053471035
14000,2089.637293746756
14400,2316.1250952830633
14800,1462.6648670635254
15200,2168.259263004146
15600,1876.6354110055838
16000,1550.3143081653864
16400,2121.856169884485
16800,1736.1011387871154
17200,1679.9454891021282
17600,3588.3693648000385
18000,1867.9000534252484
18400,2207.423526609138
18800,3286.309255368398
19200,685.876842959449
19600,2616.519293251533
20000,3157.9684663665753
20400,2897.512857087198
20800,3217.563782377808
21200,2282.057246099038
21600,1852.907795393876
22000,3303.0640096588127
22400,1597.0771602115988
22800,1806.9684633445563
23200,3666.870075791312
23600,515.6503373567327
24000,2499.175027732387
24400,3255.8360826378685
24800,3744.7359076780313
25200,1374.3604893766965
25600,902.1201458592557
26000,2592.582177444787
26400,1091.0462265473514
26800,1998.352273536037
27200,3686.657733992994
27600,909.2321851527141
28000,2852.293063955648
28400,3698.9552378220574
28800,3739.488213469942
29200,3682.7314257202147
29600,3088.0841664673417
30000,1841.3095913545565
30400,3761.085481313777
30800,3565.00234902102
31200,1819.6008381641138
31600,3498.1338738164336
32000,3739.4754268354595
32400,2887.1327865144926
32800,3456.36859818532
33200,3670.307284923039
33600,3705.615153220606
34000,3622.4690355638963
34400,3810.5707695818824
34800,2721.1182950585558
35200,3751.060307860105
35600,3578.5665532510607
36000,3792.5799587638294
36400,3806.6985805886115
36800,3510.437205442418
37200,3735.6449738411575
37600,3158.6583092871465
38000,3243.901328919002
38400,2971.527042457182
38800,3830.4081130783256
39200,3403.9036469335924
39600,2408.745575092439
40000,396.4628517500352
40400,3806.948662051246
40800,3739.1677366439744
41200,3759.5326660919955
41600,3802.3015739105645
42000,3735.4297662327012
42400,3746.6865695861993
42800,3837.447511189524
43200,3385.007783338885
43600,3639.938253670712
44000,3592.88454992526
44400,3791.633661254133
44800,3724.7163300082284
45200,3799.3581281160327
45600,3852.4378750170845
46000,3252.3857961370827
46400,3543.52966191022
46800,3553.980366856003
47200,3225.4078598330116
47600,3840.996728065621
48000,3777.8250918262547
48400,3791.0489162405897
48800,3787.7442731924216
49200,3810.5327825178365
49600,3237.993033212671
50000,3788.6281629400755
50400,2803.966337129393
50800,3672.6005019563195
51200,2973.926171081077
51600,3808.6261609436065
52000,3771.3772388300526
52400,3817.3136159595124
52800,3820.9480922213206
53200,3845.2266530706543
53600,3821.9871976907953
54000,3781.779607741137
54400,2879.760470801802
54800,3845.2966898841773
55200,3553.9717419585895
55600,3771.9419935155925
56000,3111.9323502962347
56400,3642.5121062952426
56800,3815.75412411093
57200,3679.583940955044
57600,3753.95555662048
58000,3686.9794169629718
58400,3694.650727977311
58800,3803.3703992683286
59200,2554.4168800294133
59600,3836.6932232244317
60000,3814.5732317587863
60400,3499.59790126373
60800,3661.3644731004906
61200,3817.1404683316487
61600,3845.5176415620995
62000,1654.483468608754
62400,2892.43193847085
62800,3807.193455556255
63200,3806.9475060044433
63600,3682.110735088478
64000,3814.890285584908
64400,3771.1749675265537
64800,3824.8321373375165
65200,3389.984863849004
65600,3797.950161334778
66000,3785.961858979937
66400,2739.550265264251
66800,3001.4248313156536
67200,3707.331239563202
67600,3735.7199208816596
68000,3164.097002864916
68400,3852.107167706937
68800,3512.4582826869464
69200,3748.281222313866
69600,3659.419003448814
70000,3573.8180752974363
70400,3843.097997713756
70800,3426.7388518579955
71200,3790.5874448851337
71600,3570.386312199928
72000,3763.643692163564
72400,3467.2798011138966
72800,3809.3904329099128
73200,2189.801103880735
73600,3794.87293934066
74000,3837.6143258804873
74400,3069.390677994243
74800,3292.093499586088
75200,3809.439475187967
75600,3821.7292856072754
76000,1473.46039435964
76400,3581.2790697100468
76800,3647.5239058268808
77200,3861.702634974467
77600,2569.779632012591
78000,3639.013990141444
78400,3823.053724363902
78800,3681.269600842475
79200,2370.9152158385427
79600,3187.303783924846
80000,3363.4167122042923
80400,3841.9856069632165
80800,3766.486311507618
81200,3503.109395317371
81600,3851.9382833456584
82000,3254.71258547333
82400,3773.703814239795
82800,3860.5680778279175
83200,3752.116171948826
83600,3694.5528985661745
84000,3825.088365977504
84400,3744.2300742520015
84800,3600.672437829874
85200,3822.759169886466
85600,3859.899578888549
86000,3857.5191995602213
86400,3521.971257186855
86800,3797.089980494956
87200,3807.5129965106275
87600,3606.48716352237
88000,2936.6004208401073
88400,3853.3130228255995
88800,3827.725270620513
89200,3845.0665237599455
89600,3076.30983261387
90000,3424.0767166794512
90400,3848.5612130683335
90800,3552.86326600381
91200,3808.7476863041848
91600,3847.0916429826657
92000,3615.91227471314
92400,3864.7099742328096
92800,3867.826353313385
